Especial;OP;Direccion;Comuna;Condominio;Tipo edificio;Max inicio cttos (Días);Tipologia;Estac;Bod;Arriendo Total;GC Total;Reajuste por contrato;Meses sin reajuste;% Descuento;Cant. Meses Descuento;Cant. Garantías (Meses);Cant. Garantías Mascota (Meses);Sin Garantia;Cuotas Garantía;Rentas Necesarias;Requiere Aval(es);Tremenda promo;Orientacion;m2 Depto;m2 Terraza;Estatus LLave;Candado;Status Video;Comentario;Fecha Reparacion;Presupuesto;Acepta Mascotas?;Link Listing;Unidad;Estado
Arriendo Normal;VECD606;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;360000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113307;S;31.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507774&codigo_referido=elkisd;606;Lista para arrendar
Arriendo Normal;VECD607;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;355000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113308;S;30.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507775&codigo_referido=elkisd;607;Lista para arrendar
Arriendo Normal;VECD608;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;355000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113309;S;30.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507776&codigo_referido=elkisd;608;Lista para arrendar
Arriendo Normal;VECD609;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;360000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113310;S;31.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?codigo_referido=elkisd;609;Lista para arrendar
Arriendo Normal;VECD610;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;360000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113311;S;31.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507778&codigo_referido=elkisd;610;Lista para arrendar
Arriendo Normal;VECD611;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;360000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113312;S;31.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507779&codigo_referido=elkisd;611;Lista para arrendar
Arriendo Normal;VECD613;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;360000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113314;S;31.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507781&codigo_referido=elkisd;613;Lista para arrendar
Arriendo Normal;VECD616;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;350000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113317;N;31.00;1.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507784&codigo_referido=elkisd;616;Lista para arrendar
Arriendo Normal;VECD619;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;360000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113320;P;40.00;5.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507787&codigo_referido=elkisd;619;Lista para arrendar
Arriendo Normal;VECD620;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;360000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113321;P;31.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507788&codigo_referido=elkisd;620;Lista para arrendar
