Especial;OP;Direccion;Comuna;Condominio;Tipo edificio;Max inicio cttos (Días);Tipologia;Estac;Bod;Arriendo Total;GC Total;Reajuste por contrato;Meses sin reajuste;% Descuento;Cant. Meses Descuento;Cant. Garantías (Meses);Cant. Garantías Mascota (Meses);Sin Garantia;Cuotas Garantía;Rentas Necesarias;Requiere Aval(es);Tremenda promo;Orientacion;m2 Depto;m2 Terraza;Estatus LLave;Candado;Status Video;Comentario;Fecha Reparacion;Presupuesto;Acepta Mascotas?;Link Listing;Unidad;Estado
Arriendo Normal;20109;Pablo Urzúa 1481;Independencia;Vive Independencia;0;30;1D1B;;;245000.00;40000.00;12;0;50.00;1;1.5;1.5;No;3;3.00;1;38986;SO;28.00;0.00;Inspector;895;NOK;;2024-08-12;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/independencia/1-dormitorio/vive-independencia/356?codigo_referido=elkisd;1607-A;Re-acondicionamiento
Arriendo Normal;20112;Pablo Urzúa 1481;Independencia;Vive Independencia;0;30;1D1B;;;245000.00;45000.00;12;0;50.00;1;1.5;0;No;3;3.00;1;38987;N;26.00;2.00;Ofic. Santa Lucía;1202;NOK;;2025-08-21;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/independencia/1-dormitorio/vive-independencia/356?codigo_referido=elkisd;1921-A;Re-acondicionamiento
Arriendo Normal;20144;Gamero 1541;Independencia;Vista Gamero;0;30;1D1B;;;255000.00;65000.00;12;0;25.00;1;1;0;No;3;3.00;1;39001;P;28.00;0.00;Edificio Retail;2629;NOK;;2025-07-17;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/independencia/1-dormitorio/vista-gamero/182?selectedUnit=436843&codigo_referido=elkisd;525-2;Lista para arrendar
Arriendo Especial;20150;Gamero 1541;Independencia;Vista Gamero;0;30;1D1B;;;255000.00;65000.00;12;0;50.00;1;1;0;No;3;3.00;1;34448;P;28.00;0.00;Inspector;2285;OK;;2025-06-10;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/independencia/1-dormitorio/vista-gamero/182?selectedUnit=436849&codigo_referido=elkisd;920-2;Lista para arrendar
Arriendo Normal;20163;Independencia 1815;Independencia;Portal Independencia III;0;30;1D1B;;;235000.00;50000.00;12;0;50.00;1;1.5;0;No;3;3.00;1;39014;;;;Edificio Retail;1924;NOK;;2025-08-14;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/independencia/1-dormitorio/portal-independencia-iii/184?selectedUnit=436862&codigo_referido=elkisd;2015;Lista para arrendar
Arriendo Normal;20164;Independencia 1815;Independencia;Portal Independencia III;0;30;1D1B;;;245000.00;50000.00;12;0;0.00;0;1;0;No;3;3.00;1;39015;S;25.00;0.00;Inspector;2078;OK;;2025-07-25;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/independencia/1-dormitorio/portal-independencia-iii/184?codigo_referido=elkisd;214;Lista para arrendar
Arriendo Normal;20173;Independencia 1815;Independencia;Portal Independencia III;0;30;1D1B;;;235000.00;50000.00;12;0;50.00;1;1.5;0;No;3;3.00;1;34532;;;;Inspector;264;OK;;2025-08-20;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/independencia/1-dormitorio/portal-independencia-iii/184?codigo_referido=elkisd;215;Re-acondicionamiento
Arriendo Normal;20256;Amalia Errazuriz 956;Independencia;Amalia Errázuriz;0;30;1D1B;;;290000.00;65000.00;12;0;0.00;0;1;0;No;3;3.00;1;27080;N;29.00;1.60;Inspector;2312;OK;Ajuste semestral el primer año. SP 29-06-2023;2023-02-06;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/independencia/1-dormitorio/amalia-errazuriz/42?codigo_referido=elkisd;2015;Re-acondicionamiento
Arriendo Normal;20337;Cruz 1275;Independencia;Maruri;0;30;1D1B;;;265000.00;70000.00;12;0;25.00;1;1;0;No;3;3.00;1;28049;N;27.00;1.00;Inspector;58;NOK;;2025-08-11;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/independencia/1-dormitorio/maruri/322?selectedUnit=438034&codigo_referido=elkisd;515;Lista para arrendar
Arriendo Especial;27030;Inglaterra 1144;Independencia;Nueva Inglaterra ;0;30;1D1B;;;235000.00;50000.00;12;0;50.00;1;1;0;Si;3;3.00;1;42686;P;26.00;0.00;Inspector;1452;OK;;2024-06-26;Ejecutado;Si;;806-B2;Re-acondicionamiento
Arriendo Normal;27032;Inglaterra 1144;Independencia;Nueva Inglaterra ;0;30;1D1B;;;235000.00;50000.00;12;0;50.00;1;1;0;Si;3;3.00;1;42687;O;26.00;0.00;Ofic. Santa Lucía;0;OK;;2024-06-19;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/independencia/1-dormitorio/nueva-inglaterra/228?codigo_referido=elkisd;1606-B2;Re-acondicionamiento
Arriendo Normal;27033;Inglaterra 1144;Independencia;Nueva Inglaterra ;0;30;1D1B;;;1.00;55000.00;12;0;0.00;0;1;0;Si;3;3.00;1;38149;O;30.00;0.00;Ofic. Santa Lucía;0;OK;Propietario se lleva la unidad, pide que reparemos y entreguemos llaves, el motivo es venta 03-06-22 VC;;Ejecutado;Si;;1706-B2;Re-acondicionamiento
;27036;Inglaterra 1144;Independencia;Nueva Inglaterra ;0;30;1D1B;;;1.00;50000.00;12;0;0.00;0;1;0;Si;3;3.00;1;42688;;30.00;;Propietario;0;NOK;;2025-05-30;Ejecutado;Si;;1906-B2;Lista para arrendar
Arriendo Normal;35654;Inglaterra 1144;Independencia;Nueva Inglaterra ;0;30;1D1B;;137;210000;50000;12;0;0.00;0;1;0;Si;3;3.00;1;53425;O;30.00;0.00;Ofic. Santa Lucía;0;NOK;Reajuste anual;;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/independencia/1-dormitorio/nueva-inglaterra/228?codigo_referido=elkisd;610-A;Re-acondicionamiento
Arriendo Normal;35655;Inglaterra 1144;Independencia;Nueva Inglaterra ;0;30;1D1B;;139;210000;55000;12;0;0.00;0;1;0;No;3;3.00;1;48316;O;26.00;0.00;Ofic. Santa Lucía;0;NOK;reajuste anual;2025-07-26;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/independencia/1-dormitorio/nueva-inglaterra/228?codigo_referido=elkisd;1210-A;Re-acondicionamiento
Arriendo Normal;35666;Inglaterra 1144;Independencia;Nueva Inglaterra ;0;30;1D1B;;;210000.00;55000.00;12;0;0.00;0;1;0;No;3;3.00;1;53906;O;26.00;0.00;Ofic. Santa Lucía;0;NOK;reajuste anual;2025-06-11;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/independencia/1-dormitorio/nueva-inglaterra/228?selectedUnit=453242&codigo_referido=elkisd;1004-A;Lista para arrendar
Arriendo Normal;35670;Inglaterra 1144;Independencia;Nueva Inglaterra ;0;30;1D1B;;;210000.00;90000.00;12;0;0.00;0;1;0;No;3;3.00;1;50883;;;;Ofic. Santa Lucía;0;OK;LF: REAJUSTE ANUAL;2025-07-31;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/independencia/1-dormitorio/nueva-inglaterra/228?selectedUnit=453246&codigo_referido=elkisd;1507-B1;Lista para arrendar
Arriendo Normal;CGAD204;Gamero 1363;Independencia;Mirador Gamero;1;30;1D1B;;;325000.00;69000.00;3;12;50.00;1;1;0;No;3;3.00;0;49336;O;29.91;2.85;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/independencia/1-dormitorio/mirador-gamero/1747?codigo_referido=elkisd;204;Lista para arrendar
Arriendo Normal;CGAD310;Gamero 1363;Independencia;Mirador Gamero;1;30;1D1B;;;299000.00;69000.00;3;12;50.00;1;1;0;No;3;3.00;0;49345;P;30.53;0.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/independencia/1-dormitorio/mirador-gamero/1747?codigo_referido=elkisd;310;Re-acondicionamiento
Arriendo Normal;CGAD1009;Gamero 1363;Independencia;Mirador Gamero;1;30;1D1B;;;318000.00;69000.00;3;12;50.00;1;1;0;No;3;3.00;0;49308;P;30.53;0.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/independencia/1-dormitorio/mirador-gamero/1747?selectedUnit=455280&codigo_referido=elkisd;1009;Lista para arrendar
