
> hommie-0-commission@1.0.0 lint /Users/macbookpro/Documents/hommie-0-commission-next
> eslint app components hooks lib types --format=compact

/Users/macbookpro/Documents/hommie-0-commission-next/app/coming-soon/page.tsx: line 5, col 14, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
/Users/macbookpro/Documents/hommie-0-commission-next/app/demo/page.tsx: line 3, col 10, Warning - 'PromotionType' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/app/layout.tsx: line 6, col 14, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
/Users/macbookpro/Documents/hommie-0-commission-next/app/propiedad/[id]/page.tsx: line 3, col 18, Warning - 'Phone' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/app/propiedad/[id]/page.tsx: line 6, col 10, Warning - 'PrimaryButton' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/app/propiedad/[id]/page.tsx: line 39, col 60, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/app/propiedad/[id]/page.tsx: line 41, col 23, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/app/propiedad/[id]/page.tsx: line 119, col 39, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/components/BuildingCard.tsx: line 128, col 53, Warning - 'index' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/components/StickyMobileCTA.tsx: line 48, col 29, Error - Redundant Boolean call. (no-extra-boolean-cast)
/Users/macbookpro/Documents/hommie-0-commission-next/components/StickyMobileCTA.tsx: line 49, col 24, Error - Redundant Boolean call. (no-extra-boolean-cast)
/Users/macbookpro/Documents/hommie-0-commission-next/components/StickyMobileCTA.tsx: line 50, col 21, Error - Redundant Boolean call. (no-extra-boolean-cast)
/Users/macbookpro/Documents/hommie-0-commission-next/components/admin/FlagToggle.tsx: line 9, col 27, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/components/admin/FlagToggle.tsx: line 10, col 27, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/components/admin/FlagToggle.tsx: line 88, col 7, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/components/bio/BioHeader.tsx: line 1, col 8, Warning - 'Image' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/components/cards/BuildingCard.tsx: line 7, col 20, Warning - 'clx' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/components/cards/BuildingCard.tsx: line 8, col 15, Warning - 'Building' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/components/filters/AdvancedFilterBar.tsx: line 3, col 18, Warning - 'Search' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/components/filters/AdvancedFilterBar.tsx: line 8, col 30, Warning - 'toBasicFilters' is defined but never used. (@typescript-eslint/no-unused-vars)
